bowler,runs_conceded,legal_balls,dot_balls,wickets,economy,bowling_strike_rate,dot_ball_percentage,bowling_average,matches_bowled,three_plus_wickets,four_plus_wickets,five_plus_wickets,best_match_wickets
Yash Raj Punja,279,180,49,9,9.3,20.0,27.22,31.0,8,0,0,0,2
M Jansen,483,284,86,9,10.2,31.56,30.28,53.67,12,0,0,0,2
Mukesh Choudhary,249,168,72,8,8.89,21.0,42.86,31.12,8,0,0,0,2
Nithish Kumar Reddy,323,186,57,8,10.42,23.25,30.65,40.38,14,0,0,0,2
PJ Cummins,307,192,70,8,9.59,24.0,36.46,38.38,8,1,0,0,3
AJ Hosein,198,148,58,8,8.03,18.5,39.19,24.75,7,1,1,0,4
Harsh Dubey,228,132,38,8,10.36,16.5,28.79,28.5,8,1,0,0,3
DL Chahar,265,153,58,8,10.39,19.12,37.91,33.12,8,0,0,0,2
C Green,234,132,47,7,10.64,18.86,35.61,33.43,10,0,0,0,2
R Shepherd,298,150,37,7,11.92,21.43,24.67,42.57,13,1,0,0,3
Mukesh Kumar,353,188,62,6,11.27,31.33,32.98,58.83,10,0,0,0,2
M Siddharth,145,90,26,6,9.67,15.0,28.89,24.17,4,0,0,0,2
Avesh Khan,273,148,47,6,11.07,24.67,31.76,45.5,7,0,0,0,2
Ashwani Kumar,102,60,22,6,10.2,10.0,36.67,17.0,3,1,1,0,4
Arshad Khan,172,104,44,6,9.92,17.33,42.31,28.67,6,1,0,0,3
Ashok Sharma,228,126,53,6,10.86,21.0,42.06,38.0,6,0,0,0,2
Shahbaz Ahmed,130,67,16,5,11.64,13.4,23.88,26.0,5,0,0,0,2
DS Rathi,397,234,56,5,10.18,46.8,23.93,79.4,10,0,0,0,2
T Natarajan,356,191,43,5,11.18,38.2,22.51,71.2,10,1,0,0,3
SR Dubey,106,77,41,5,8.26,15.4,53.25,21.2,4,0,0,0,2
XC Bartlett,388,201,56,5,11.58,40.2,27.86,77.6,9,0,0,0,2
MJ Santner,125,84,32,5,8.93,16.8,38.1,25.0,4,0,0,0,2
Sandeep Sharma,224,118,32,5,11.39,23.6,27.12,44.8,6,0,0,0,2
Shashank Singh,88,60,17,4,8.8,15.0,28.33,22.0,4,0,0,0,2
HH Pandya,259,136,41,4,11.43,34.0,30.15,64.75,9,0,0,0,1
Gurjapneet Singh,233,151,46,4,9.26,37.75,30.46,58.25,8,0,0,0,1
TU Deshpande,275,138,40,4,11.96,34.5,28.99,68.75,7,0,0,0,1
M Tiwari,87,60,20,4,8.7,15.0,33.33,21.75,3,0,0,0,2
JD Unadkat,140,77,23,4,10.91,19.25,29.87,35.0,4,1,0,0,3
JJ Bumrah,410,294,111,4,8.37,73.5,37.76,102.5,13,0,0,0,1
B Muzarabani,75,42,13,4,10.71,10.5,30.95,18.75,2,1,1,0,4
Akash Singh,80,42,18,4,11.43,10.5,42.86,20.0,2,1,0,0,3
Abhinandan Singh,122,58,15,3,12.62,19.33,25.86,40.67,3,0,0,0,2
Azmatullah Omarzai,103,66,23,3,9.36,22.0,34.85,34.33,3,0,0,0,2
SH Johnson,112,66,28,2,10.18,33.0,42.42,56.0,3,0,0,0,1
WG Jacks,94,53,20,2,10.64,26.5,37.74,47.0,6,0,0,0,1
V Nigam,113,54,14,2,12.56,27.0,25.93,56.5,5,0,0,0,1
RA Bawa,50,24,7,2,12.5,12.0,29.17,25.0,2,0,0,0,1
Harpreet Brar,60,48,16,2,7.5,24.0,33.33,30.0,2,0,0,0,2
KK Ahmed,146,101,43,2,8.67,50.5,42.57,73.0,5,0,0,0,1
KA Jamieson,90,42,11,2,12.86,21.0,26.19,45.0,2,0,0,0,1
DA Payne,70,30,5,2,14.0,15.0,16.67,35.0,2,0,0,0,2
Yash Thakur,55,24,8,2,13.75,12.0,33.33,27.5,1,0,0,0,2
TA Boult,188,97,25,2,11.63,48.5,25.77,94.0,5,0,0,0,1
MP Stoinis,98,47,10,2,12.51,23.5,21.28,49.0,4,0,0,0,1
SS Mishra,67,38,16,2,10.58,19.0,42.11,33.5,2,0,0,0,2
R Parag,38,24,5,2,9.5,12.0,20.83,19.0,4,0,0,0,1
MJ Suthar,68,36,13,2,11.33,18.0,36.11,34.0,3,0,0,0,1
MJ Henry,130,60,10,2,13.0,30.0,16.67,65.0,3,0,0,0,2
Arjun Tendulkar,36,24,6,1,9.0,24.0,25.0,36.0,1,0,0,0,1
BJ Dwarshuis,51,24,6,1,12.75,24.0,25.0,51.0,1,0,0,0,1
D Madushanka,36,24,8,1,9.0,24.0,33.33,36.0,1,0,0,0,1
R Sai Kishore,46,24,6,1,11.5,24.0,25.0,46.0,2,0,0,0,1
Raghu Sharma,130,90,23,1,8.67,90.0,25.56,130.0,5,0,0,0,1
S Dube,64,30,6,1,12.8,30.0,20.0,64.0,4,0,0,0,1
Ramandeep Singh,31,16,1,1,11.62,16.0,6.25,31.0,2,0,0,0,1
TM Head,7,6,2,1,7.0,6.0,33.33,7.0,1,0,0,0,1
Washington Sundar,84,55,14,1,9.16,55.0,25.45,84.0,5,0,0,0,1
RS Ghosh,24,18,6,1,8.0,18.0,33.33,24.0,1,0,0,0,1
MD Shanaka,60,36,8,1,10.0,36.0,22.22,60.0,3,0,0,0,1
D Ferreira,41,18,2,1,13.67,18.0,11.11,41.0,3,0,0,0,1
LH Ferguson,141,66,20,1,12.82,66.0,30.3,141.0,3,0,0,0,1
GF Linde,55,37,10,1,8.92,37.0,27.03,55.0,3,0,0,0,1
AF Milne,41,20,3,0,12.3,inf,15.0,inf,1,0,0,0,0
A Nortje,39,24,7,0,9.75,inf,29.17,inf,1,0,0,0,0
Abdul Samad,6,1,0,0,36.0,inf,0.0,inf,1,0,0,0,0
Abhishek Sharma,49,29,6,0,10.14,inf,20.69,inf,4,0,0,0,0
Auqib Nabi,149,78,26,0,11.46,inf,33.33,inf,5,0,0,0,0
M Pathirana,9,8,4,0,6.75,inf,50.0,inf,1,0,0,0,0
M Markande,76,30,5,0,15.2,inf,16.67,inf,3,0,0,0,0
Krish Bhagat,63,36,15,0,10.5,inf,41.67,inf,3,0,0,0,0
K Khejroliya,31,12,3,0,15.5,inf,25.0,inf,1,0,0,0,0
HV Patel,148,82,16,0,10.83,inf,19.51,inf,5,0,0,0,0
A Badoni,14,6,0,0,14.0,inf,0.0,inf,1,0,0,0,0
AK Markram,83,36,8,0,13.83,inf,22.22,inf,5,0,0,0,0
MP Yadav,182,96,36,0,11.38,inf,37.5,inf,4,0,0,0,0
RD Chahar,46,24,4,0,11.5,inf,16.67,inf,1,0,0,0,0
Navdeep Saini,37,18,6,0,12.33,inf,33.33,inf,1,0,0,0,0
PR Veer,25,12,5,0,12.5,inf,41.67,inf,1,0,0,0,0
PVD Chameera,18,12,5,0,9.0,inf,41.67,inf,1,0,0,0,0
N Rana,55,24,7,0,13.75,inf,29.17,inf,1,0,0,0,0
MW Short,39,19,5,0,12.32,inf,26.32,inf,2,0,0,0,0
TH David,18,6,1,0,18.0,inf,16.67,inf,1,0,0,0,0
T Vijay,29,12,2,0,14.5,inf,16.67,inf,1,0,0,0,0
