bowler,runs_conceded,legal_balls,dot_balls,wickets,economy,bowling_strike_rate,dot_ball_percentage,bowling_average
TH David,18,6,1,0,18.0,inf,16.67,inf
TM Head,7,6,2,1,7.0,6.0,33.33,7.0
TU Deshpande,275,138,40,4,11.96,34.5,28.99,68.75
V Nigam,113,54,14,2,12.56,27.0,25.93,56.5
VG Arora,390,228,75,11,10.26,20.73,32.89,35.45
Vijaykumar Vyshak,330,186,51,9,10.65,20.67,27.42,36.67
WG Jacks,94,53,20,2,10.64,26.5,37.74,47.0
Washington Sundar,84,55,14,1,9.16,55.0,25.45,84.0
XC Bartlett,388,201,56,5,11.58,40.2,27.86,77.6
YS Chahal,385,246,57,12,9.39,20.5,23.17,32.08
Yash Raj Punja,279,180,49,9,9.3,20.0,27.22,31.0
Yash Thakur,55,24,8,2,13.75,12.0,33.33,27.5
