match_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_team,first_innings_runs,second_innings_team,second_innings_runs,winner,result_type,run_margin,wickets_margin,total_match_runs,team1_win,team1_prev_win_pct,team2_prev_win_pct,team1_recent_form,team2_recent_form,team1_avg_runs,team2_avg_runs,team1_avg_conceded,team2_avg_conceded,toss_winner_is_team1
1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,201,Royal Challengers Bengaluru,203.0,Royal Challengers Bengaluru,Chased,,6.0,404,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0
1527675,2026-03-29,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,220,Mumbai Indians,224.0,Mumbai Indians,Chased,,6.0,444,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0
1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",Guwahati,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,127,Rajasthan Royals,128.0,Rajasthan Royals,Chased,,8.0,255,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0
1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Gujarat Titans,Punjab Kings,Punjab Kings,field,Gujarat Titans,162,Punjab Kings,165.0,Punjab Kings,Chased,,3.0,327,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0
1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,141,Delhi Capitals,145.0,Delhi Capitals,Chased,,6.0,286,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0
1527679,2026-04-02,"Eden Gardens, Kolkata",Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,226,Kolkata Knight Riders,161.0,Sunrisers Hyderabad,Defended,65.0,,387,1,0.0,0.0,0.0,0.0,201.0,220.0,203.0,224.0,0
1527680,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,209,Punjab Kings,210.0,Punjab Kings,Chased,,5.0,419,0,0.0,1.0,0.0,1.0,127.0,165.0,128.0,162.0,0
1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Rajasthan Royals,210,Gujarat Titans,204.0,Rajasthan Royals,Defended,6.0,,414,1,1.0,0.0,1.0,0.0,128.0,162.0,127.0,165.0,1
1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,162,Delhi Capitals,164.0,Delhi Capitals,Chased,,6.0,326,0,1.0,1.0,1.0,1.0,224.0,145.0,220.0,141.0,0
1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Sunrisers Hyderabad,156,Lucknow Super Giants,160.0,Lucknow Super Giants,Chased,,5.0,316,0,0.5,0.0,0.5,0.0,213.5,141.0,182.0,145.0,0
1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,250,Chennai Super Kings,207.0,Royal Challengers Bengaluru,Defended,43.0,,457,1,1.0,0.0,1.0,0.0,203.0,168.0,201.0,169.0,0
1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",Guwahati,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,150,Mumbai Indians,123.0,Rajasthan Royals,Defended,27.0,,273,1,1.0,0.5,1.0,0.5,169.0,193.0,165.5,192.0,0
1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",Delhi,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,210,Delhi Capitals,209.0,Gujarat Titans,Defended,1.0,,419,1,0.0,1.0,0.0,1.0,183.0,154.5,187.5,151.5,0
1527688,2026-04-09,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,181,Lucknow Super Giants,182.0,Lucknow Super Giants,Chased,,3.0,363,0,0.0,0.5,0.0,0.5,190.5,150.5,225.0,150.5,0
