match_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_team,first_innings_runs,second_innings_team,second_innings_runs,winner,result_type,run_margin,wickets_margin,total_match_runs
1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,250,Chennai Super Kings,207.0,Royal Challengers Bengaluru,Defended,43.0,,457
1527685,2026-04-06,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,25,,,,No Result,,,25
1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",Guwahati,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,150,Mumbai Indians,123.0,Rajasthan Royals,Defended,27.0,,273
1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",Delhi,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,210,Delhi Capitals,209.0,Gujarat Titans,Defended,1.0,,419
1527688,2026-04-09,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,181,Lucknow Super Giants,182.0,Lucknow Super Giants,Chased,,3.0,363
1527689,2026-04-10,"Barsapara Cricket Stadium, Guwahati",Guwahati,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,201,Rajasthan Royals,202.0,Rajasthan Royals,Chased,,6.0,403
1527690,2026-04-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,219,Punjab Kings,223.0,Punjab Kings,Chased,,6.0,442
1527691,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,212,Delhi Capitals,189.0,Chennai Super Kings,Defended,23.0,,401
1527692,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants,164,Gujarat Titans,165.0,Gujarat Titans,Chased,,7.0,329
1527693,2026-04-12,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,240,Mumbai Indians,222.0,Royal Challengers Bengaluru,Defended,18.0,,462
1529264,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,216,Rajasthan Royals,159.0,Sunrisers Hyderabad,Defended,57.0,,375
1529265,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,192,Kolkata Knight Riders,160.0,Chennai Super Kings,Defended,32.0,,352
1529266,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,146,Royal Challengers Bengaluru,149.0,Royal Challengers Bengaluru,Chased,,5.0,295
1529267,2026-04-16,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,195,Punjab Kings,198.0,Punjab Kings,Chased,,7.0,393
1529268,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,180,Gujarat Titans,181.0,Gujarat Titans,Chased,,5.0,361
1529269,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,175,Delhi Capitals,179.0,Delhi Capitals,Chased,,5.0,354
1529270,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,194,Chennai Super Kings,184.0,Sunrisers Hyderabad,Defended,10.0,,378
1529271,2026-04-19,"Eden Gardens, Kolkata",Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,155,Kolkata Knight Riders,161.0,Kolkata Knight Riders,Chased,,4.0,316
1529272,2026-04-19,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings,254,Lucknow Super Giants,200.0,Punjab Kings,Defended,54.0,,454
1529273,2026-04-20,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,199,Gujarat Titans,100.0,Mumbai Indians,Defended,99.0,,299
1529274,2026-04-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,242,Delhi Capitals,195.0,Sunrisers Hyderabad,Defended,47.0,,437
1529275,2026-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,159,Lucknow Super Giants,119.0,Rajasthan Royals,Defended,40.0,,278
1529276,2026-04-23,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,207,Mumbai Indians,104.0,Chennai Super Kings,Defended,103.0,,311
1529277,2026-04-24,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Gujarat Titans,205,Royal Challengers Bengaluru,206.0,Royal Challengers Bengaluru,Chased,,5.0,411
1529278,2026-04-25,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,264,Punjab Kings,265.0,Punjab Kings,Chased,,6.0,529
1529279,2026-04-25,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,228,Sunrisers Hyderabad,229.0,Sunrisers Hyderabad,Chased,,5.0,457
1529280,2026-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,158,Gujarat Titans,162.0,Gujarat Titans,Chased,,8.0,320
1529281,2026-04-26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,155,Lucknow Super Giants,155.0,,Tie,,,310
1529282,2026-04-27,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,75,Royal Challengers Bengaluru,77.0,Royal Challengers Bengaluru,Chased,,9.0,152
1529283,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,222,Rajasthan Royals,228.0,Rajasthan Royals,Chased,,6.0,450
1529284,2026-04-29,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,243,Sunrisers Hyderabad,249.0,Sunrisers Hyderabad,Chased,,6.0,492
1529285,2026-04-30,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bengaluru,155,Gujarat Titans,158.0,Gujarat Titans,Chased,,4.0,313
1529286,2026-05-01,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,225,Delhi Capitals,226.0,Delhi Capitals,Chased,,7.0,451
1529287,2026-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,159,Chennai Super Kings,160.0,Chennai Super Kings,Chased,,8.0,319
1529288,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,165,Kolkata Knight Riders,169.0,Kolkata Knight Riders,Chased,,7.0,334
1529289,2026-05-03,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,163,Gujarat Titans,167.0,Gujarat Titans,Chased,,4.0,330
1529290,2026-05-04,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,228,Mumbai Indians,229.0,Mumbai Indians,Chased,,6.0,457
1529291,2026-05-05,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,155,Chennai Super Kings,159.0,Chennai Super Kings,Chased,,8.0,314
1529292,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,235,Punjab Kings,202.0,Sunrisers Hyderabad,Defended,33.0,,437
1529293,2026-05-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,209,Royal Challengers Bengaluru,203.0,Lucknow Super Giants,Defended,6.0,,412
1529294,2026-05-08,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,142,Kolkata Knight Riders,147.0,Kolkata Knight Riders,Chased,,8.0,289
1529295,2026-05-09,"Sawai Mansingh Stadium, Jaipur",Jaipur,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,229,Rajasthan Royals,152.0,Gujarat Titans,Defended,77.0,,381
1529296,2026-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Lucknow Super Giants,203,Chennai Super Kings,208.0,Chennai Super Kings,Chased,,5.0,411
1529297,2026-05-10,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Mumbai Indians,166,Royal Challengers Bengaluru,167.0,Royal Challengers Bengaluru,Chased,,2.0,333
1529298,2026-05-11,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,210,Delhi Capitals,216.0,Delhi Capitals,Chased,,3.0,426
1529299,2026-05-12,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,168,Sunrisers Hyderabad,86.0,Gujarat Titans,Defended,82.0,,254
1529300,2026-05-13,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,192,Royal Challengers Bengaluru,194.0,Royal Challengers Bengaluru,Chased,,6.0,386
1529301,2026-05-14,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,200,Mumbai Indians,205.0,Mumbai Indians,Chased,,6.0,405
1529302,2026-05-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,187,Lucknow Super Giants,188.0,Lucknow Super Giants,Chased,,7.0,375
1529303,2026-05-16,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Kolkata Knight Riders,247,Gujarat Titans,218.0,Kolkata Knight Riders,Defended,29.0,,465
1529304,2026-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,222,Punjab Kings,199.0,Royal Challengers Bengaluru,Defended,23.0,,421
1529305,2026-05-17,"Arun Jaitley Stadium, Delhi",Delhi,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,193,Delhi Capitals,197.0,Delhi Capitals,Chased,,5.0,390
1529306,2026-05-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,180,Sunrisers Hyderabad,181.0,Sunrisers Hyderabad,Chased,,5.0,361
1529307,2026-05-19,"Sawai Mansingh Stadium, Jaipur",Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Lucknow Super Giants,220,Rajasthan Royals,225.0,Rajasthan Royals,Chased,,7.0,445
1529308,2026-05-20,"Eden Gardens, Kolkata",Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,147,Kolkata Knight Riders,148.0,Kolkata Knight Riders,Chased,,4.0,295
1529309,2026-05-21,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,229,Chennai Super Kings,140.0,Gujarat Titans,Defended,89.0,,369
1529310,2026-05-22,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,255,Royal Challengers Bengaluru,200.0,Sunrisers Hyderabad,Defended,55.0,,455
1529311,2026-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,196,Punjab Kings,200.0,Punjab Kings,Chased,,7.0,396
1529312,2026-05-24,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,205,Mumbai Indians,175.0,Rajasthan Royals,Defended,30.0,,380
1529313,2026-05-24,"Eden Gardens, Kolkata",Kolkata,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,203,Kolkata Knight Riders,163.0,Delhi Capitals,Defended,40.0,,366
1535462,2026-05-26,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bengaluru,254,Gujarat Titans,162.0,Royal Challengers Bengaluru,Defended,92.0,,416
1535463,2026-05-27,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,243,Sunrisers Hyderabad,196.0,Rajasthan Royals,Defended,47.0,,439
1535464,2026-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Rajasthan Royals,214,Gujarat Titans,219.0,Gujarat Titans,Chased,,7.0,433
1535465,2026-05-31,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Gujarat Titans,155,Royal Challengers Bengaluru,161.0,Royal Challengers Bengaluru,Chased,,5.0,316
